Table Poss,Season,Points,Team,Total Shots,Shots OutOfBox,Shots SixYardBox,Shots PenaltyArea,Shots Open Play,Shots Counters,Shots Set Pieces,Shots Against,Total Goals,Goals OutOfBox,Goals PenaltyArea,Goals SixYardBox,Goals Penalty,Own Goals,Total Goals Less PK,Goals Open Play,Goals Counters,Goals Set Pieces,Goals Allowed,Key Passes,Assists,Unsuccessful Dribbles,Successful Dribbles,TotalTackles,DribbledPast,Interceprions,Expenditure,Income,Net Spend
6,2013/2014,69,Tottenham,587,298,29,260,436,16,129,426,51,12,28,10,2,2,49,30,4,11,51,445,32,285,417,751,293,559,109690000.00,121610000.00,11920000.00
9,2013/2014,50,Stoke,428,203,32,193,320,7,96,547,43,6,23,14,5,5,38,29,3,7,52,330,28,263,287,791,404,480,5760000.00,0.00,-5760000.00
10,2013/2014,49,Newcastle United,579,310,34,235,427,17,132,486,43,15,18,8,4,2,39,28,3,8,59,424,25,331,382,733,285,595,0.00,23280000.00,23280000.00
12,2013/2014,42,Swansea,495,243,25,227,384,8,99,483,49,6,32,9,2,2,47,33,0,10,54,386,38,311,288,672,347,641,22960000.00,0.00,-22960000.00
13,2013/2014,40,West Ham,422,166,35,221,281,10,129,680,38,11,22,4,2,1,36,23,2,10,51,321,25,291,283,651,272,401,20970000.00,477000.00,-20493000.00
17,2013/2014,36,West Bromwich Albion,486,214,30,242,339,9,136,494,43,6,27,8,2,3,41,32,1,6,59,364,27,199,297,701,322,595,11610000.00,10260000.00,-1350000.00
16,2013/2014,37,Hull,429,197,31,201,289,3,134,532,38,7,21,7,1,0,37,21,2,10,53,303,22,158,220,721,299,611,27540000.00,792000.00,-26748000.00
15,2013/2014,38,Aston Villa,431,224,12,195,332,12,83,494,42,6,26,6,2,2,40,25,4,7,61,334,27,227,235,748,304,455,17860000.00,4590000.00,-13270000.00
14,2013/2014,38,Sunderland,491,257,30,204,330,11,144,635,47,8,29,4,2,3,45,18,4,13,60,359,24,206,245,704,340,415,28760000.00,20010000.00,-8750000.00
19,2013/2014,32,Fulham,431,205,31,195,301,13,114,581,43,11,18,9,6,0,37,21,1,14,85,322,28,197,303,702,347,498,24390000.00,2840000.00,-21550000.00
18,2013/2014,33,Norwich,467,228,33,206,339,9,117,673,31,2,17,9,5,1,26,22,1,4,62,347,18,237,253,674,367,526,25650000.00,4350000.00,-21300000.00
20,2013/2014,30,Cardiff,418,193,32,193,277,4,136,692,30,6,20,4,1,2,29,16,0,13,74,298,23,201,314,620,363,493,39610000.00,3370000.00,-36240000.00
3,2014/2015,75,Arsenal,610,233,34,343,467,14,122,407,70,14,46,9,7,1,63,45,2,16,36,473,49,383,599,737,376,766,107080000.00,23580000.00,-83500000.00
2,2014/2015,79,Manchester City,670,228,32,410,497,29,136,388,84,13,54,15,4,1,80,53,10,12,38,533,61,191,434,751,482,571,79470000.00,26660000.00,-52810000.00
1,2014/2015,87,Chelsea,564,230,42,292,428,10,121,414,73,19,46,7,6,2,67,52,1,15,32,468,58,341,489,759,387,370,123930000.00,126990000.00,3060000.00
4,2014/2015,70,Manchester United,513,203,37,273,380,7,121,384,61,14,39,7,3,2,58,43,2,12,37,394,41,311,374,739,302,680,168890000.00,40310000.00,-128580000.00
7,2014/2015,60,Southampton,510,192,31,287,378,3,126,384,49,7,38,4,2,5,47,41,0,6,33,387,31,210,265,812,336,628,85990000.00,111450000.00,25460000.00
6,2014/2015,62,Liverpool,590,285,25,280,447,14,123,414,51,7,33,8,3,1,48,35,2,6,48,443,30,352,438,798,324,440,134490000.00,89340000.00,-45150000.00
5,2014/2015,64,Tottenham,527,272,28,227,377,13,132,490,58,12,33,11,2,3,56,36,2,15,53,408,39,314,413,813,315,678,43620000.00,37490000.00,-6130000.00
9,2014/2015,54,Stoke,502,240,43,219,349,16,134,456,47,12,28,7,3,2,44,37,1,6,45,360,29,302,357,734,366,501,1620000.00,3420000.00,1800000.00
8,2014/2015,56,Swansea,426,203,20,203,317,4,103,555,44,5,30,8,5,4,39,36,1,4,49,319,33,355,351,635,372,692,35680000.00,54580000.00,18900000.00
12,2014/2015,47,West Ham,489,176,47,266,316,15,156,589,45,11,23,9,1,0,44,29,1,12,47,369,34,306,260,646,330,507,31640000.00,3960000.00,-27680000.00
14,2014/2015,41,Leicester,457,167,30,260,304,19,130,559,51,12,25,8,1,1,50,27,3,12,55,330,28,342,349,791,362,743,20570000.00,0.00,-20570000.00
10,2014/2015,48,Crystal Palace,442,166,44,232,283,8,145,524,46,14,26,6,3,1,43,22,0,19,51,321,27,495,357,792,340,600,28150000.00,2580000.00,-25570000.00
11,2014/2015,47,Everton,483,238,21,224,342,18,116,502,48,9,29,8,4,2,44,26,5,11,50,354,31,331,392,661,341,444,36140000.00,1710000.00,-34430000.00
19,2014/2015,33,Burnley,430,177,32,221,305,6,116,593,29,7,16,4,3,3,26,19,0,7,53,320,20,261,243,612,403,566,11360000.00,0.00,-11360000.00
13,2014/2015,44,West Bromwich Albion,411,190,35,186,282,6,118,623,37,12,22,3,5,1,32,13,1,19,51,309,30,142,241,695,352,588,22390000.00,2070000.00,-20320000.00
20,2014/2015,30,Queens Park Rangers,535,271,37,227,358,9,163,547,42,10,21,8,1,1,41,23,1,12,73,386,28,262,307,781,387,561,36780000.00,23440000.00,-13340000.00
18,2014/2015,35,Hull,429,188,20,221,304,6,118,627,32,4,25,3,1,1,31,22,2,7,51,312,23,193,255,763,378,606,43410000.00,16830000.00,-26580000.00
16,2014/2015,38,Sunderland,408,194,29,185,269,14,121,502,35,8,16,6,1,0,34,15,2,9,53,304,19,308,341,759,436,579,19000000.00,6530000.00,-12470000.00
15,2014/2015,39,Newcastle United,468,200,39,229,308,15,144,445,41,8,26,6,4,1,37,31,1,7,63,339,30,422,444,825,321,643,38720000.00,20120000.00,-18600000.00
17,2014/2015,38,Aston Villa,417,168,24,225,284,13,119,479,32,4,24,3,4,1,28,18,2,10,57,306,23,190,287,623,286,484,12110000.00,1180000.00,-10930000.00
2,2015/2016,71,Arsenal,572,158,53,361,430,11,129,448,66,16,42,4,5,0,61,45,3,13,36,469,53,274,493,706,364,736,23850000.00,2250000.00,-21600000.00
1,2015/2016,81,Leicester,522,187,46,289,349,13,147,517,68,10,54,3,1,3,67,41,5,11,36,390,45,365,430,869,433,820,44910000.00,8280000.00,-36630000.00
3,2015/2016,70,Tottenham,658,300,34,324,492,11,150,422,71,12,46,10,5,1,66,44,2,17,35,501,50,278,362,803,317,645,63900000.00,64420000.00,520000.00
4,2015/2016,66,Manchester City,615,232,43,340,434,6,167,338,72,13,44,14,2,1,70,47,5,14,41,479,53,268,456,729,477,630,187470000.00,54450000.00,-133020000.00
7,2015/2016,62,West Ham,558,229,45,284,375,8,171,521,67,11,43,10,4,1,63,42,2,16,51,427,38,348,396,712,369,665,45360000.00,16660000.00,-28700000.00
6,2015/2016,63,Southampton,519,181,37,301,383,5,127,464,57,15,36,6,4,3,53,38,3,13,41,403,45,182,271,715,331,706,52560000.00,47430000.00,-5130000.00
8,2015/2016,60,Liverpool,629,290,32,307,477,8,142,399,63,10,37,15,10,1,53,44,1,15,50,497,50,268,412,871,388,552,112860000.00,78660000.00,-34200000.00
11,2015/2016,47,Everton,491,194,33,264,360,7,119,555,58,9,41,6,4,4,54,42,2,8,55,364,43,293,444,730,368,511,44010000.00,9900000.00,-34110000.00
10,2015/2016,50,Chelsea,526,207,34,285,394,9,118,483,58,9,35,11,3,2,55,39,1,11,53,404,39,355,467,790,409,517,75150000.00,72040000.00,-3110000.00
5,2015/2016,66,Manchester United,430,192,20,218,308,5,114,410,47,9,32,5,3,3,44,34,2,7,35,313,31,326,373,761,378,592,140400000.00,91860000.00,-48540000.00
13,2015/2016,45,Watford,446,206,20,220,322,7,110,502,40,6,28,3,5,1,35,23,0,8,50,312,18,239,331,794,405,766,73380000.00,5900000.00,-67480000.00
15,2015/2016,42,Crystal Palace,469,195,38,236,305,2,157,570,40,12,20,6,3,2,37,19,0,15,51,330,21,311,390,649,374,698,25920000.00,4860000.00,-21060000.00
17,2015/2016,39,Sunderland,439,199,28,212,302,6,128,566,48,11,25,8,3,1,45,24,2,15,62,320,28,230,303,768,433,566,58190000.00,9000000.00,-49190000.00
12,2015/2016,47,Swansea,441,204,19,218,317,4,115,521,43,6,28,7,1,1,42,25,3,8,52,335,25,226,300,637,364,679,19440000.00,15030000.00,-4410000.00
9,2015/2016,51,Stoke,418,201,25,192,316,1,96,536,41,10,22,8,5,1,36,29,0,6,55,317,29,294,401,710,405,577,48290000.00,20880000.00,-27410000.00
18,2015/2016,37,Newcastle United,397,138,20,239,307,10,77,551,44,6,31,6,3,4,41,28,4,8,65,318,34,378,368,792,372,642,96220000.00,4170000.00,-92050000.00
14,2015/2016,43,West Bromwich Albion,389,155,49,185,264,2,118,547,32,12,17,3,6,3,26,19,0,12,48,282,25,144,287,642,392,721,38610000.00,11630000.00,-26980000.00
16,2015/2016,42,Bournemouth,464,215,18,231,336,2,122,441,45,7,30,6,4,1,41,28,0,12,67,358,28,370,415,708,401,639,48520000.00,585000.00,-47935000.00
20,2015/2016,17,Aston Villa,380,177,16,187,265,4,109,502,27,4,14,6,1,2,26,14,1,7,76,283,19,422,420,730,305,767,59490000.00,58230000.00,-1260000.00
19,2015/2016,34,Norwich,418,186,31,201,301,1,115,490,39,7,25,6,2,3,37,27,0,10,67,313,27,238,320,608,355,473,41180000.00,19340000.00,-21840000.00
1,2016/2017,93,Chelsea,580,216,30,334,398,18,160,323,85,14,57,12,7,2,78,52,7,22,33,450,57,257,504,655,303,515,119520000.00,77310000.00,-42210000.00
2,2016/2017,86,Tottenham,669,313,46,310,489,9,162,350,86,20,52,12,4,4,82,61,3,13,26,507,59,332,454,661,314,314,74250000.00,45990000.00,-28260000.00
3,2016/2017,78,Manchester City,633,241,50,342,462,12,150,300,80,16,52,7,7,1,73,51,6,11,39,486,52,263,503,641,409,497,192150000.00,29700000.00,-162450000.00
6,2016/2017,69,Manchester United,591,248,44,299,461,7,119,433,54,11,36,7,2,2,52,41,3,7,29,453,41,279,401,690,363,580,166500000.00,42440000.00,-124060000.00
5,2016/2017,75,Arsenal,566,187,41,338,425,7,128,361,77,21,45,7,7,5,70,55,2,12,44,434,54,227,458,673,363,541,96300000.00,7200000.00,-89100000.00
4,2016/2017,76,Liverpool,640,257,32,351,489,7,136,312,78,11,53,13,3,0,75,55,2,13,42,501,55,295,415,718,400,410,71910000.00,74340000.00,2430000.00
7,2016/2017,61,Everton,502,198,33,271,363,7,128,448,62,11,44,3,3,4,59,41,2,12,44,394,46,243,402,714,393,461,77310000.00,54090000.00,-23220000.00
11,2016/2017,45,West Ham,499,230,42,227,330,9,156,437,47,16,24,6,7,2,40,24,3,16,64,358,29,264,406,574,336,616,63720000.00,36900000.00,-26820000.00
8,2016/2017,46,Southampton,550,210,33,307,419,0,125,505,41,8,27,4,4,2,37,29,0,7,48,396,27,176,320,675,331,513,62010000.00,76550000.00,14540000.00
13,2016/2017,44,Stoke,425,161,42,222,292,1,126,540,41,11,21,5,3,2,38,24,0,9,56,299,23,232,366,666,362,497,32580000.00,2070000.00,-30510000.00
14,2016/2017,41,Crystal Palace,439,162,35,242,275,2,155,517,50,13,33,2,4,2,46,32,0,12,63,312,34,264,392,700,386,550,88020000.00,45180000.00,-42840000.00
9,2016/2017,46,Bournemouth,453,201,23,229,316,6,121,551,55,8,41,4,3,1,52,32,2,12,67,338,36,268,428,604,385,460,34510000.00,22940000.00,-11570000.00
19,2016/2017,28,Middlesbrough,351,150,24,177,250,5,94,551,27,8,17,1,4,4,23,14,3,7,53,249,21,211,399,726,441,548,43160000.00,12150000.00,-31010000.00
16,2016/2017,40,Burnley,392,179,28,185,230,5,151,673,39,8,23,8,3,1,36,19,2,12,55,267,23,126,180,636,414,536,41040000.00,1080000.00,-39960000.00
12,2016/2017,44,Leicester,433,183,33,217,256,17,154,555,48,8,29,9,3,0,45,28,4,10,63,299,33,275,303,678,434,535,82440000.00,59450000.00,-22990000.00
10,2016/2017,45,West Bromwich Albion,400,159,38,203,279,8,112,517,43,12,25,6,1,0,42,19,3,20,51,290,34,181,307,604,348,537,34110000.00,23760000.00,-10350000.00
15,2016/2017,41,Swansea,406,158,29,219,264,4,135,521,45,12,28,5,6,0,39,24,1,17,70,301,32,215,316,636,392,457,52380000.00,43740000.00,-8640000.00
17,2016/2017,40,Watford,422,190,22,210,288,3,128,540,40,7,28,4,5,1,35,25,0,11,68,299,26,267,339,617,370,512,62280000.00,52290000.00,-9990000.00
20,2016/2017,24,Sunderland,387,168,24,195,266,4,112,676,29,5,20,3,3,1,26,18,0,5,69,266,12,191,318,630,347,547,37710000.00,20490000.00,-17220000.00
18,2016/2017,34,Hull,397,162,28,207,263,13,118,635,37,9,23,4,2,1,35,16,3,14,80,272,25,157,262,632,381,566,33930000.00,26010000.00,-7920000.00
1,2017/2018,100,Manchester City,665,254,56,355,496,12,149,236,106,26,64,13,6,3,100,78,4,15,27,503,85,229,503,563,366,346,285750000.00,84200000.00,-201550000.00
4,2017/2018,75,Liverpool,638,247,44,347,495,19,121,281,84,17,56,9,2,2,82,60,9,11,38,489,58,212,440,637,325,379,151230000.00,153630000.00,2400000.00
2,2017/2018,81,Manchester United,512,213,44,255,395,9,105,437,68,12,43,12,4,1,64,48,4,14,28,377,53,270,466,564,382,481,147960000.00,7650000.00,-140310000.00
3,2017/2018,77,Tottenham,623,267,37,319,444,19,157,357,74,16,44,10,1,1,73,48,8,12,36,467,51,283,436,618,325,380,109350000.00,91170000.00,-18180000.00
5,2017/2018,70,Chelsea,606,246,36,324,437,11,155,376,62,13,37,10,2,4,60,45,1,11,38,487,43,220,512,636,342,423,234540000.00,169920000.00,-64620000.00
6,2017/2018,63,Arsenal,594,225,42,327,447,12,130,422,74,14,53,6,3,2,71,54,0,15,51,446,59,164,383,622,363,428,106970000.00,109980000.00,3010000.00
11,2017/2018,44,Crystal Palace,476,174,34,268,299,15,152,467,45,9,29,6,2,0,43,23,3,10,55,334,26,240,481,685,407,552,44060000.00,2700000.00,-41360000.00
7,2017/2018,54,Burnley,378,134,29,215,237,4,137,570,36,9,22,4,5,2,31,27,0,8,39,278,26,128,217,533,349,401,32170000.00,45000000.00,12830000.00
9,2017/2018,47,Leicester,423,162,39,222,262,17,138,490,56,14,32,7,5,3,51,29,7,12,60,298,38,296,422,630,408,413,76810000.00,42660000.00,-34150000.00
13,2017/2018,42,West Ham,372,140,28,204,264,7,97,479,48,10,29,9,3,2,45,32,4,10,68,278,33,218,425,622,382,488,47970000.00,62120000.00,14150000.00
10,2017/2018,44,Newcastle United,451,212,35,204,325,12,113,562,39,11,22,5,0,1,39,23,4,11,47,322,29,231,304,644,416,441,35370000.00,17460000.00,-17910000.00
19,2017/2018,33,Stoke,384,153,32,199,257,13,111,578,35,7,20,7,3,0,32,22,2,10,68,292,29,181,325,680,372,458,44370000.00,31630000.00,-12740000.00
15,2017/2018,40,Brighton,384,153,36,195,264,2,111,555,34,10,19,4,5,1,29,23,0,5,54,286,25,187,296,595,436,452,58140000.00,0.00,-58140000.00
8,2017/2018,49,Everton,359,130,25,204,250,6,95,490,44,8,26,8,8,1,36,29,2,6,58,265,27,197,264,644,389,514,182880000.00,113380000.00,-69500000.00
17,2017/2018,36,Southampton,450,177,36,237,322,7,118,540,37,8,25,3,0,1,37,19,2,12,56,343,23,152,379,658,361,462,55260000.00,83250000.00,27990000.00
14,2017/2018,41,Watford,440,165,31,244,306,5,123,414,44,10,26,6,0,1,44,29,1,9,64,322,27,233,332,668,372,467,62460000.00,14850000.00,-47610000.00
12,2017/2018,44,Bournemouth,465,193,26,246,326,2,134,547,45,8,30,7,3,1,42,26,0,16,61,348,36,295,343,508,327,367,30870000.00,0.00,-30870000.00
20,2017/2018,31,West Bromwich Albion,376,146,41,189,259,5,111,517,31,14,15,2,2,3,29,14,2,14,56,269,24,203,320,605,411,468,44730000.00,1580000.00,-43150000.00
16,2017/2018,37,Huddersfield,362,157,22,183,250,10,100,441,28,5,19,1,1,1,27,17,2,4,58,261,19,215,276,744,381,519,51080000.00,5270000.00,-45810000.00
18,2017/2018,33,Swansea,338,145,27,166,232,6,99,540,28,8,15,4,1,0,27,16,0,10,56,222,19,205,318,610,329,390,58140000.00,72990000.00,14850000.00
